País,ano,quantidade,valor_usd
Alemanha,1991,0,0
Alemanha,1992,1170,2497
Alemanha,1993,2832,2704
Alemanha,1994,4521,7206
Alemanha,1995,4407,4792
Alemanha,1996,13185,22088
Alemanha,1997,2880,1901
Alemanha,1998,0,0
Alemanha,1999,0,0
Alemanha,2000,0,0
Alemanha,2001,0,0
Alemanha,2002,0,0
Alemanha,2003,0,0
Alemanha,2004,600,1791
Alemanha,2005,0,0
Alemanha,2006,0,0
Alemanha,2007,0,0
Alemanha,2008,60850,68950
Alemanha,2009,0,0
Alemanha,2010,0,0
Alemanha,2011,0,0
Alemanha,2012,0,0
Alemanha,2013,0,0
Alemanha,2014,0,0
Alemanha,2015,6496,46692
Alemanha,2016,6540,75902
Alemanha,2017,0,0
Alemanha,2018,80,652
Alemanha,2019,0,0
Alemanha,2020,0,0
Alemanha,2021,0,0
Alemanha,2022,0,0
Alemanha,2023,0,0
Argentina,1970,0,0
Argentina,1971,0,0
Argentina,1972,0,0
Argentina,1973,3600,1350
Argentina,1974,10200,3500
Argentina,1975,6,5
Argentina,1976,0,0
Argentina,1977,0,0
Argentina,1978,2790,2850
Argentina,1979,0,0
Argentina,1980,0,0
Argentina,1981,0,0
Argentina,1982,0,0
Argentina,1983,0,0
Argentina,1984,0,0
Argentina,1985,0,0
Argentina,1986,1575080,713219
Argentina,1987,2452094,3673253
Argentina,1988,224130,163512
Argentina,1989,1901597,1339369
Argentina,1990,1875689,1367706
Argentina,1991,506860,499644
Argentina,1992,10200,6800
Argentina,1993,2950,3540
Argentina,1994,0,0
Argentina,1995,708655,549282
Argentina,1996,1050503,830357
Argentina,1997,2796195,2428563
Argentina,1998,2057726,1994801
Argentina,1999,2003660,1845406
Argentina,2000,2022110,1659478
Argentina,2001,1379960,869223
Argentina,2002,0,0
Argentina,2003,2237000,994132
Argentina,2004,850000,658747
Argentina,2005,974970,870222
Argentina,2006,1775000,1535250
Argentina,2007,1297680,1095590
Argentina,2008,0,0
Argentina,2009,0,0
Argentina,2010,108000,138240
Argentina,2011,0,0
Argentina,2012,0,0
Argentina,2013,0,0
Argentina,2014,0,0
Argentina,2015,0,0
Argentina,2016,59028,80898
Argentina,2017,72900,90518
Argentina,2018,2998,3139
Argentina,2019,0,0
Argentina,2020,0,0
Argentina,2021,0,0
Argentina,2022,0,0
Argentina,2023,0,0
Austria,1970,0,0
Austria,1971,0,0
Austria,1972,0,0
Austria,1973,0,0
Austria,1974,0,0
Austria,1975,0,0
Austria,1976,0,0
Austria,1977,0,0
Austria,1978,0,0
Austria,1979,0,0
Austria,1980,0,0
Austria,1981,0,0
Austria,1982,0,0
Austria,1983,0,0
Austria,1984,0,0
Austria,1985,0,0
Austria,1986,0,0
Austria,1987,0,0
Austria,1988,0,0
Austria,1989,0,0
Austria,1990,0,0
Austria,1991,0,0
Austria,1992,0,0
Austria,1993,0,0
Austria,1994,0,0
Austria,1995,1200,348
Austria,1996,0,0
Austria,1997,0,0
Austria,1998,35210,16029
Austria,1999,0,0
Austria,2000,0,0
Austria,2001,0,0
Austria,2002,0,0
Austria,2003,0,0
Austria,2004,0,0
Austria,2005,0,0
Austria,2006,0,0
Austria,2007,0,0
Austria,2008,0,0
Austria,2009,0,0
Austria,2010,0,0
Austria,2011,3264,3254
Austria,2012,0,0
Austria,2013,0,0
Austria,2014,0,0
Austria,2015,0,0
Austria,2016,0,0
Austria,2017,1333,1467
Austria,2018,0,0
Austria,2019,666,655
Austria,2020,0,0
Austria,2021,0,0
Austria,2022,0,0
Austria,2023,0,0
Canadá,1970,0,0
Canadá,1971,0,0
Canadá,1972,0,0
Canadá,1973,0,0
Canadá,1974,0,0
Canadá,1975,0,0
Canadá,1976,0,0
Canadá,1977,0,0
Canadá,1978,0,0
Canadá,1979,0,0
Canadá,1980,0,0
Canadá,1981,0,0
Canadá,1982,0,0
Canadá,1983,0,0
Canadá,1984,0,0
Canadá,1985,0,0
Canadá,1986,0,0
Canadá,1987,0,0
Canadá,1988,30,233
Canadá,1989,0,0
Canadá,1990,0,0
Canadá,1991,0,0
Canadá,1992,0,0
Canadá,1993,0,0
Canadá,1994,19728,4558
Canadá,1995,26404,12195
Canadá,1996,21665,8124
Canadá,1997,995,691
Canadá,1998,0,0
Canadá,1999,0,0
Canadá,2000,0,0
Canadá,2001,0,0
Canadá,2002,0,0
Canadá,2003,0,0
Canadá,2004,0,0
Canadá,2005,0,0
Canadá,2006,0,0
Canadá,2007,0,0
Canadá,2008,0,0
Canadá,2009,0,0
Canadá,2010,0,0
Canadá,2011,0,0
Canadá,2012,0,0
Canadá,2013,0,0
Canadá,2014,0,0
Canadá,2015,0,0
Canadá,2016,0,0
Canadá,2017,0,0
Canadá,2018,0,0
Canadá,2019,0,0
Canadá,2020,0,0
Canadá,2021,0,0
Canadá,2022,0,0
Canadá,2023,0,0
"Coreia do Sul, República",1970,0,0
"Coreia do Sul, República",1971,0,0
"Coreia do Sul, República",1972,0,0
"Coreia do Sul, República",1973,0,0
"Coreia do Sul, República",1974,0,0
"Coreia do Sul, República",1975,0,0
"Coreia do Sul, República",1976,0,0
"Coreia do Sul, República",1977,0,0
"Coreia do Sul, República",1978,0,0
"Coreia do Sul, República",1979,0,0
"Coreia do Sul, República",1980,0,0
"Coreia do Sul, República",1981,0,0
"Coreia do Sul, República",1982,0,0
"Coreia do Sul, República",1983,0,0
"Coreia do Sul, República",1984,0,0
"Coreia do Sul, República",1985,0,0
"Coreia do Sul, República",1986,0,0
"Coreia do Sul, República",1987,0,0
"Coreia do Sul, República",1988,0,0
"Coreia do Sul, República",1989,0,0
"Coreia do Sul, República",1990,0,0
"Coreia do Sul, República",1991,0,0
"Coreia do Sul, República",1992,0,0
"Coreia do Sul, República",1993,0,0
"Coreia do Sul, República",1994,0,0
"Coreia do Sul, República",1995,158204,117269
"Coreia do Sul, República",1996,0,0
"Coreia do Sul, República",1997,0,0
"Coreia do Sul, República",1998,303420,250582
"Coreia do Sul, República",1999,112762,90300
"Coreia do Sul, República",2000,5141,1800
"Coreia do Sul, República",2001,8255,2645
"Coreia do Sul, República",2002,0,0
"Coreia do Sul, República",2003,5400,2145
"Coreia do Sul, República",2004,4805,1344
"Coreia do Sul, República",2005,7379,2365
"Coreia do Sul, República",2006,0,0
"Coreia do Sul, República",2007,0,0
"Coreia do Sul, República",2008,735,270
"Coreia do Sul, República",2009,16661,17249
"Coreia do Sul, República",2010,15080,18097
"Coreia do Sul, República",2011,130902,136380
"Coreia do Sul, República",2012,542548,577061
"Coreia do Sul, República",2013,176796,227252
"Coreia do Sul, República",2014,12655,14784
"Coreia do Sul, República",2015,85145,49712
"Coreia do Sul, República",2016,30022,44524
"Coreia do Sul, República",2017,28927,41276
"Coreia do Sul, República",2018,77955,99441
"Coreia do Sul, República",2019,0,0
"Coreia do Sul, República",2020,0,0
"Coreia do Sul, República",2021,0,0
"Coreia do Sul, República",2022,0,0
"Coreia do Sul, República",2023,0,0
"Coreia do Norte, República",1970,0,0
"Coreia do Norte, República",1971,0,0
"Coreia do Norte, República",1972,0,0
"Coreia do Norte, República",1973,0,0
"Coreia do Norte, República",1974,0,0
"Coreia do Norte, República",1975,0,0
"Coreia do Norte, República",1976,0,0
"Coreia do Norte, República",1977,0,0
"Coreia do Norte, República",1978,0,0
"Coreia do Norte, República",1979,0,0
"Coreia do Norte, República",1980,0,0
"Coreia do Norte, República",1981,0,0
"Coreia do Norte, República",1982,0,0
"Coreia do Norte, República",1983,0,0
"Coreia do Norte, República",1984,0,0
"Coreia do Norte, República",1985,0,0
"Coreia do Norte, República",1986,0,0
"Coreia do Norte, República",1987,0,0
"Coreia do Norte, República",1988,0,0
"Coreia do Norte, República",1989,0,0
"Coreia do Norte, República",1990,0,0
"Coreia do Norte, República",1991,0,0
"Coreia do Norte, República",1992,0,0
"Coreia do Norte, República",1993,0,0
"Coreia do Norte, República",1994,0,0
"Coreia do Norte, República",1995,0,0
"Coreia do Norte, República",1996,0,0
"Coreia do Norte, República",1997,0,0
"Coreia do Norte, República",1998,56000,49405
"Coreia do Norte, República",1999,25100,20413
"Coreia do Norte, República",2000,11560,9062
"Coreia do Norte, República",2001,19071,8389
"Coreia do Norte, República",2002,0,0
"Coreia do Norte, República",2003,0,0
"Coreia do Norte, República",2004,0,0
"Coreia do Norte, República",2005,0,0
"Coreia do Norte, República",2006,0,0
"Coreia do Norte, República",2007,0,0
"Coreia do Norte, República",2008,0,0
"Coreia do Norte, República",2009,0,0
"Coreia do Norte, República",2010,0,0
"Coreia do Norte, República",2011,0,0
"Coreia do Norte, República",2012,0,0
"Coreia do Norte, República",2013,0,0
"Coreia do Norte, República",2014,16704,24698
"Coreia do Norte, República",2015,15651,22621
"Coreia do Norte, República",2016,0,0
"Coreia do Norte, República",2017,0,0
"Coreia do Norte, República",2018,0,0
"Coreia do Norte, República",2019,0,0
"Coreia do Norte, República",2020,0,0
"Coreia do Norte, República",2021,0,0
"Coreia do Norte, República",2022,0,0
"Coreia do Norte, República",2023,0,0
Chile,1970,0,0
Chile,1971,0,0
Chile,1972,0,0
Chile,1973,0,0
Chile,1974,0,0
Chile,1975,0,0
Chile,1976,0,0
Chile,1977,0,0
Chile,1978,0,0
Chile,1979,0,0
Chile,1980,0,0
Chile,1981,0,0
Chile,1982,0,0
Chile,1983,0,0
Chile,1984,0,0
Chile,1985,0,0
Chile,1986,0,0
Chile,1987,0,0
Chile,1988,0,0
Chile,1989,0,0
Chile,1990,100000,79000
Chile,1991,100000,82500
Chile,1992,0,0
Chile,1993,5050,2940
Chile,1994,158480,101920
Chile,1995,563267,423616
Chile,1996,476840,374322
Chile,1997,118194,133715
Chile,1998,0,0
Chile,1999,136,253
Chile,2000,0,0
Chile,2001,1391570,1502228
Chile,2002,27000,28350
Chile,2003,0,0
Chile,2004,0,0
Chile,2005,0,0
Chile,2006,0,0
Chile,2007,225000,292500
Chile,2008,100000,130000
Chile,2009,0,0
Chile,2010,1015000,3003445
Chile,2011,0,0
Chile,2012,0,0
Chile,2013,0,0
Chile,2014,0,0
Chile,2015,23790,29024
Chile,2016,94940,183525
Chile,2017,0,0
Chile,2018,0,0
Chile,2019,0,0
Chile,2020,0,0
Chile,2021,0,0
Chile,2022,0,0
Chile,2023,0,0
China,1970,0,0
China,1971,0,0
China,1972,0,0
China,1973,0,0
China,1974,0,0
China,1975,0,0
China,1976,0,0
China,1977,0,0
China,1978,0,0
China,1979,0,0
China,1980,0,0
China,1981,0,0
China,1982,0,0
China,1983,0,0
China,1984,0,0
China,1985,0,0
China,1986,0,0
China,1987,0,0
China,1988,0,0
China,1989,0,0
China,1990,0,0
China,1991,0,0
China,1992,0,0
China,1993,0,0
China,1994,0,0
China,1995,5338,1465
China,1996,0,0
China,1997,0,0
China,1998,4200,1715
China,1999,0,0
China,2000,0,0
China,2001,0,0
China,2002,0,0
China,2003,0,0
China,2004,0,0
China,2005,0,0
China,2006,0,0
China,2007,0,0
China,2008,0,0
China,2009,0,0
China,2010,0,0
China,2011,0,0
China,2012,0,0
China,2013,0,0
China,2014,0,0
China,2015,0,0
China,2016,0,0
China,2017,2475,2098
China,2018,0,0
China,2019,0,0
China,2020,0,0
China,2021,0,0
China,2022,0,0
China,2023,0,0
Dinamarca,1970,0,0
Dinamarca,1971,34,16
Dinamarca,1972,20,8
Dinamarca,1973,80,38
Dinamarca,1974,0,0
Dinamarca,1975,0,0
Dinamarca,1976,0,0
Dinamarca,1977,0,0
Dinamarca,1978,0,0
Dinamarca,1979,49,64
Dinamarca,1980,0,0
Dinamarca,1981,0,0
Dinamarca,1982,0,0
Dinamarca,1983,0,0
Dinamarca,1984,0,0
Dinamarca,1985,0,0
Dinamarca,1986,0,0
Dinamarca,1987,0,0
Dinamarca,1988,0,0
Dinamarca,1989,0,0
Dinamarca,1990,0,0
Dinamarca,1991,0,0
Dinamarca,1992,0,0
Dinamarca,1993,0,0
Dinamarca,1994,0,0
Dinamarca,1995,0,0
Dinamarca,1996,0,0
Dinamarca,1997,0,0
Dinamarca,1998,0,0
Dinamarca,1999,0,0
Dinamarca,2000,0,0
Dinamarca,2001,0,0
Dinamarca,2002,0,0
Dinamarca,2003,0,0
Dinamarca,2004,0,0
Dinamarca,2005,0,0
Dinamarca,2006,0,0
Dinamarca,2007,0,0
Dinamarca,2008,0,0
Dinamarca,2009,0,0
Dinamarca,2010,0,0
Dinamarca,2011,0,0
Dinamarca,2012,0,0
Dinamarca,2013,0,0
Dinamarca,2014,0,0
Dinamarca,2015,0,0
Dinamarca,2016,0,0
Dinamarca,2017,0,0
Dinamarca,2018,0,0
Dinamarca,2019,0,0
Dinamarca,2020,0,0
Dinamarca,2021,0,0
Dinamarca,2022,0,0
Dinamarca,2023,0,0
Espanha,1970,0,0
Espanha,1971,0,0
Espanha,1972,0,0
Espanha,1973,0,0
Espanha,1974,0,0
Espanha,1975,0,0
Espanha,1976,0,0
Espanha,1977,0,0
Espanha,1978,0,0
Espanha,1979,0,0
Espanha,1980,0,0
Espanha,1981,0,0
Espanha,1982,0,0
Espanha,1983,0,0
Espanha,1984,0,0
Espanha,1985,0,0
Espanha,1986,0,0
Espanha,1987,0,0
Espanha,1988,0,0
Espanha,1989,0,0
Espanha,1990,0,0
Espanha,1991,0,0
Espanha,1992,0,0
Espanha,1993,0,0
Espanha,1994,0,0
Espanha,1995,4617,2836
Espanha,1996,3058,955
Espanha,1997,2208,1945
Espanha,1998,3986,2780
Espanha,1999,0,0
Espanha,2000,0,0
Espanha,2001,0,0
Espanha,2002,0,0
Espanha,2003,0,0
Espanha,2004,0,0
Espanha,2005,0,0
Espanha,2006,0,0
Espanha,2007,0,0
Espanha,2008,0,0
Espanha,2009,0,0
Espanha,2010,0,0
Espanha,2011,0,0
Espanha,2012,0,0
Espanha,2013,9588,8215
Espanha,2014,0,0
Espanha,2015,0,0
Espanha,2016,0,0
Espanha,2017,0,0
Espanha,2018,422,806
Espanha,2019,0,0
Espanha,2020,0,0
Espanha,2021,0,0
Espanha,2022,0,0
Espanha,2023,0,0
Estados Unidos,1970,0,0
Estados Unidos,1971,210,777
Estados Unidos,1972,0,0
Estados Unidos,1973,7,7
Estados Unidos,1974,731,406
Estados Unidos,1975,3364,859
Estados Unidos,1976,3265,742
Estados Unidos,1977,0,0
Estados Unidos,1978,0,0
Estados Unidos,1979,0,0
Estados Unidos,1980,0,0
Estados Unidos,1981,0,0
Estados Unidos,1982,0,0
Estados Unidos,1983,0,0
Estados Unidos,1984,0,0
Estados Unidos,1985,0,0
Estados Unidos,1986,0,0
Estados Unidos,1987,954,3280
Estados Unidos,1988,0,0
Estados Unidos,1989,1958,2350
Estados Unidos,1990,0,0
Estados Unidos,1991,12543,11798
Estados Unidos,1992,0,0
Estados Unidos,1993,3597,3040
Estados Unidos,1994,4639,5286
Estados Unidos,1995,51921,200121
Estados Unidos,1996,15892,11721
Estados Unidos,1997,15896,8557
Estados Unidos,1998,16985,11059
Estados Unidos,1999,5394,11240
Estados Unidos,2000,10338,19754
Estados Unidos,2001,6089,11831
Estados Unidos,2002,0,0
Estados Unidos,2003,3536,4555
Estados Unidos,2004,10450,13762
Estados Unidos,2005,9044,12130
Estados Unidos,2006,20842,25866
Estados Unidos,2007,2028,3604
Estados Unidos,2008,8455,14898
Estados Unidos,2009,13178,24066
Estados Unidos,2010,10657,17793
Estados Unidos,2011,12487,13866
Estados Unidos,2012,13498,9740
Estados Unidos,2013,32044,34722
Estados Unidos,2014,0,0
Estados Unidos,2015,23578,28765
Estados Unidos,2016,68730,108205
Estados Unidos,2017,32691,40554
Estados Unidos,2018,14541,8226
Estados Unidos,2019,9273,14093
Estados Unidos,2020,28180,25418
Estados Unidos,2021,3870,3551
Estados Unidos,2022,29414,16781
Estados Unidos,2023,28627,15200
França,1970,0,0
França,1971,81,48
França,1972,36,32
França,1973,27,36
França,1974,0,0
França,1975,0,0
França,1976,0,0
França,1977,0,0
França,1978,0,0
França,1979,0,0
França,1980,0,0
França,1981,0,0
França,1982,0,0
França,1983,0,0
França,1984,0,0
França,1985,0,0
França,1986,0,0
França,1987,0,0
França,1988,0,0
França,1989,0,0
França,1990,0,0
França,1991,0,0
França,1992,0,0
França,1993,0,0
França,1994,0,0
França,1995,74489,61975
França,1996,14,52
França,1997,0,0
França,1998,0,0
França,1999,0,0
França,2000,0,0
França,2001,0,0
França,2002,0,0
França,2003,6,5
França,2004,0,0
França,2005,0,0
França,2006,0,0
França,2007,0,0
França,2008,0,0
França,2009,0,0
França,2010,0,0
França,2011,0,0
França,2012,0,0
França,2013,0,0
França,2014,0,0
França,2015,862,2229
França,2016,0,0
França,2017,0,0
França,2018,0,0
França,2019,0,0
França,2020,0,0
França,2021,0,0
França,2022,0,0
França,2023,0,0
Guiana,1970,0,0
Guiana,1971,0,0
Guiana,1972,0,0
Guiana,1973,35,12
Guiana,1974,0,0
Guiana,1975,0,0
Guiana,1976,0,0
Guiana,1977,0,0
Guiana,1978,0,0
Guiana,1979,0,0
Guiana,1980,0,0
Guiana,1981,0,0
Guiana,1982,0,0
Guiana,1983,0,0
Guiana,1984,0,0
Guiana,1985,0,0
Guiana,1986,0,0
Guiana,1987,0,0
Guiana,1988,0,0
Guiana,1989,0,0
Guiana,1990,0,0
Guiana,1991,0,0
Guiana,1992,0,0
Guiana,1993,0,0
Guiana,1994,0,0
Guiana,1995,0,0
Guiana,1996,0,0
Guiana,1997,0,0
Guiana,1998,0,0
Guiana,1999,0,0
Guiana,2000,0,0
Guiana,2001,0,0
Guiana,2002,0,0
Guiana,2003,0,0
Guiana,2004,0,0
Guiana,2005,0,0
Guiana,2006,0,0
Guiana,2007,0,0
Guiana,2008,0,0
Guiana,2009,0,0
Guiana,2010,0,0
Guiana,2011,0,0
Guiana,2012,0,0
Guiana,2013,0,0
Guiana,2014,0,0
Guiana,2015,0,0
Guiana,2016,0,0
Guiana,2017,0,0
Guiana,2018,0,0
Guiana,2019,0,0
Guiana,2020,0,0
Guiana,2021,0,0
Guiana,2022,0,0
Guiana,2023,0,0
Israel,1970,0,0
Israel,1971,0,0
Israel,1972,0,0
Israel,1973,0,0
Israel,1974,18,8
Israel,1975,225,112
Israel,1976,405,225
Israel,1977,0,0
Israel,1978,0,0
Israel,1979,0,0
Israel,1980,0,0
Israel,1981,0,0
Israel,1982,0,0
Israel,1983,0,0
Israel,1984,0,0
Israel,1985,0,0
Israel,1986,0,0
Israel,1987,0,0
Israel,1988,234,240
Israel,1989,468,480
Israel,1990,0,0
Israel,1991,421,643
Israel,1992,312,476
Israel,1993,291,538
Israel,1994,180,250
Israel,1995,135,187
Israel,1996,4079,2483
Israel,1997,3700,1488
Israel,1998,11663,6217
Israel,1999,374,282
Israel,2000,840,1400
Israel,2001,1170,2192
Israel,2002,0,0
Israel,2003,0,0
Israel,2004,2475,3891
Israel,2005,5879,8140
Israel,2006,3249,4082
Israel,2007,1965,2857
Israel,2008,900,1551
Israel,2009,900,1783
Israel,2010,1125,1684
Israel,2011,0,0
Israel,2012,1139,2021
Israel,2013,2528,4831
Israel,2014,0,0
Israel,2015,2575,4651
Israel,2016,1200,1656
Israel,2017,5340,7399
Israel,2018,840,1034
Israel,2019,3360,3609
Israel,2020,0,0
Israel,2021,720,969
Israel,2022,0,0
Israel,2023,0,0
itália,1970,0,0
itália,1971,0,0
itália,1972,0,0
itália,1973,0,0
itália,1974,0,0
itália,1975,0,0
itália,1976,0,0
itália,1977,0,0
itália,1978,0,0
itália,1979,0,0
itália,1980,0,0
itália,1981,0,0
itália,1982,0,0
itália,1983,0,0
itália,1984,0,0
itália,1985,0,0
itália,1986,0,0
itália,1987,0,0
itália,1988,0,0
itália,1989,0,0
itália,1990,0,0
itália,1991,0,0
itália,1992,0,0
itália,1993,0,0
itália,1994,0,0
itália,1995,0,0
itália,1996,0,0
itália,1997,0,0
itália,1998,0,0
itália,1999,0,0
itália,2000,0,0
itália,2001,0,0
itália,2002,0,0
itália,2003,0,0
itália,2004,0,0
itália,2005,0,0
itália,2006,0,0
itália,2007,0,0
itália,2008,0,0
itália,2009,0,0
itália,2010,0,0
itália,2011,0,0
itália,2012,0,0
itália,2013,771457,408318
itália,2014,0,0
itália,2015,225,771
itália,2016,774,1594
itália,2017,1161,4254
itália,2018,0,0
itália,2019,0,0
itália,2020,0,0
itália,2021,0,0
itália,2022,0,0
itália,2023,1836,1966
Japão,1970,0,0
Japão,1971,0,0
Japão,1972,0,0
Japão,1973,0,0
Japão,1974,0,0
Japão,1975,0,0
Japão,1976,0,0
Japão,1977,0,0
Japão,1978,0,0
Japão,1979,0,0
Japão,1980,0,0
Japão,1981,0,0
Japão,1982,0,0
Japão,1983,0,0
Japão,1984,0,0
Japão,1985,0,0
Japão,1986,0,0
Japão,1987,0,0
Japão,1988,0,0
Japão,1989,0,0
Japão,1990,0,0
Japão,1991,0,0
Japão,1992,175,226
Japão,1993,0,0
Japão,1994,800,800
Japão,1995,760,640
Japão,1996,0,0
Japão,1997,270,60
Japão,1998,0,0
Japão,1999,0,0
Japão,2000,0,0
Japão,2001,0,0
Japão,2002,0,0
Japão,2003,0,0
Japão,2004,0,0
Japão,2005,0,0
Japão,2006,0,0
Japão,2007,0,0
Japão,2008,0,0
Japão,2009,0,0
Japão,2010,0,0
Japão,2011,0,0
Japão,2012,0,0
Japão,2013,0,0
Japão,2014,0,0
Japão,2015,0,0
Japão,2016,0,0
Japão,2017,0,0
Japão,2018,0,0
Japão,2019,0,0
Japão,2020,0,0
Japão,2021,0,0
Japão,2022,0,0
Japão,2023,0,0
Líbano,1970,0,0
Líbano,1971,0,0
Líbano,1972,0,0
Líbano,1973,0,0
Líbano,1974,0,0
Líbano,1975,0,0
Líbano,1976,0,0
Líbano,1977,0,0
Líbano,1978,0,0
Líbano,1979,0,0
Líbano,1980,0,0
Líbano,1981,0,0
Líbano,1982,0,0
Líbano,1983,0,0
Líbano,1984,0,0
Líbano,1985,0,0
Líbano,1986,0,0
Líbano,1987,0,0
Líbano,1988,0,0
Líbano,1989,0,0
Líbano,1990,455,819
Líbano,1991,0,0
Líbano,1992,0,0
Líbano,1993,0,0
Líbano,1994,0,0
Líbano,1995,0,0
Líbano,1996,0,0
Líbano,1997,0,0
Líbano,1998,0,0
Líbano,1999,0,0
Líbano,2000,0,0
Líbano,2001,0,0
Líbano,2002,0,0
Líbano,2003,0,0
Líbano,2004,0,0
Líbano,2005,0,0
Líbano,2006,0,0
Líbano,2007,0,0
Líbano,2008,0,0
Líbano,2009,0,0
Líbano,2010,0,0
Líbano,2011,0,0
Líbano,2012,0,0
Líbano,2013,0,0
Líbano,2014,0,0
Líbano,2015,0,0
Líbano,2016,0,0
Líbano,2017,0,0
Líbano,2018,0,0
Líbano,2019,0,0
Líbano,2020,0,0
Líbano,2021,0,0
Líbano,2022,0,0
Líbano,2023,0,0
México,1970,0,0
México,1971,0,0
México,1972,0,0
México,1973,0,0
México,1974,0,0
México,1975,0,0
México,1976,0,0
México,1977,0,0
México,1978,0,0
México,1979,0,0
México,1980,0,0
México,1981,0,0
México,1982,0,0
México,1983,0,0
México,1984,0,0
México,1985,0,0
México,1986,0,0
México,1987,0,0
México,1988,0,0
México,1989,0,0
México,1990,0,0
México,1991,0,0
México,1992,0,0
México,1993,0,0
México,1994,0,0
México,1995,2490,1523
México,1996,44668,36188
México,1997,504734,271595
México,1998,1919238,863521
México,1999,314075,108319
México,2000,0,0
México,2001,0,0
México,2002,0,0
México,2003,0,0
México,2004,0,0
México,2005,0,0
México,2006,0,0
México,2007,0,0
México,2008,0,0
México,2009,0,0
México,2010,0,0
México,2011,0,0
México,2012,0,0
México,2013,0,0
México,2014,0,0
México,2015,0,0
México,2016,0,0
México,2017,0,0
México,2018,0,0
México,2019,0,0
México,2020,0,0
México,2021,0,0
México,2022,0,0
México,2023,0,0
Países Baixos,1970,0,0
Países Baixos,1971,0,0
Países Baixos,1972,0,0
Países Baixos,1973,0,0
Países Baixos,1974,0,0
Países Baixos,1975,0,0
Países Baixos,1976,0,0
Países Baixos,1977,0,0
Países Baixos,1978,0,0
Países Baixos,1979,0,0
Países Baixos,1980,0,0
Países Baixos,1981,0,0
Países Baixos,1982,0,0
Países Baixos,1983,0,0
Países Baixos,1984,0,0
Países Baixos,1985,0,0
Países Baixos,1986,0,0
Países Baixos,1987,0,0
Países Baixos,1988,0,0
Países Baixos,1989,0,0
Países Baixos,1990,0,0
Países Baixos,1991,0,0
Países Baixos,1992,0,0
Países Baixos,1993,0,0
Países Baixos,1994,0,0
Países Baixos,1995,0,0
Países Baixos,1996,0,0
Países Baixos,1997,0,0
Países Baixos,1998,0,0
Países Baixos,1999,0,0
Países Baixos,2000,0,0
Países Baixos,2001,0,0
Países Baixos,2002,0,0
Países Baixos,2003,0,0
Países Baixos,2004,0,0
Países Baixos,2005,0,0
Países Baixos,2006,0,0
Países Baixos,2007,0,0
Países Baixos,2008,0,0
Países Baixos,2009,0,0
Países Baixos,2010,0,0
Países Baixos,2011,0,0
Países Baixos,2012,0,0
Países Baixos,2013,0,0
Países Baixos,2014,0,0
Países Baixos,2015,0,0
Países Baixos,2016,0,0
Países Baixos,2017,0,0
Países Baixos,2018,0,0
Países Baixos,2019,0,0
Países Baixos,2020,0,0
Países Baixos,2021,0,0
Países Baixos,2022,0,0
Países Baixos,2023,0,0
Panamá,1970,0,0
Panamá,1971,0,0
Panamá,1972,0,0
Panamá,1973,0,0
Panamá,1974,0,0
Panamá,1975,0,0
Panamá,1976,0,0
Panamá,1977,0,0
Panamá,1978,0,0
